station,temperature,dew_point,pressure,wind_dir,wind_speed,visibility,rain
SBFL,19,18,1014,330,9,9999,0
SBFL,20,18,1013,240,2,9999,0
SBFL,19,18,1013,190,6,9999,0
SBFL,19,18,1015,040,11,8000,1
SBFL,19,18,1017,340,7,3000,1
SBFL,18,18,1016,330,7,2000,1
SBFL,19,18,1015,340,9,1900,1
SBFL,19,18,1016,330,8,3000,1
SBFL,19,18,1015,360,10,2100,1
SBFL,19,18,1015,010,7,6000,1
SBFL,20,17,1015,020,7,9999,0
SBFL,20,17,1015,010,9,9999,0
SBFL,20,17,1017,010,10,9999,0
SBFL,20,17,1017,VRB,9,9999,0
SBFL,19,17,1017,340,9,9999,0
SBFL,20,17,1018,360,10,9999,0
SBFL,20,17,1018,010,10,9999,0
SBFL,20,17,1018,010,10,9999,0
SBFL,20,16,1018,010,10,9999,0
SBFL,20,16,1017,020,10,9999,0
SBFL,20,17,1017,010,12,9999,0
SBFL,20,17,1017,010,14,9999,0
SBFL,21,17,1017,020,15,9999,0
SBFL,21,17,1017,010,13,9999,0
SBFL,21,16,1017,010,13,9999,0
SBFL,21,17,1019,360,15,9999,0
SBFL,22,17,1020,360,16,9999,0
SBFL,21,17,1020,350,15,9999,0
SBFL,20,17,1021,350,11,9999,0
SBFL,19,17,1021,350,11,9999,0
SBFL,18,17,1021,350,8,9999,0
SBFL,18,16,1020,350,6,9999,0
SBFL,18,16,1020,350,4,9000,0
SBFL,17,16,1020,340,4,9999,0
SBFL,17,16,1020,340,3,9999,0
SBFL,17,16,1021,320,5,9999,0
SBFL,17,16,1021,340,4,9999,0
SBFL,17,15,1022,350,3,9999,0
SBFL,17,15,1022,350,5,9999,0
SBFL,17,15,1023,330,6,9999,0
SBFL,17,16,1023,330,5,,0
SBFL,15,15,1023,VRB,2,,0
SBFL,16,14,1023,100,4,,0
SBFL,16,14,1023,100,4,,0
SBFL,17,15,1023,VRB,2,8000,0
SBFL,16,15,1023,VRB,2,8000,0
SBFL,15,15,1022,120,3,5000,0
SBFL,16,15,1022,120,9,5000,0
SBFL,18,15,1021,130,8,8000,0
SBFL,19,15,1021,120,10,8000,0
SBFL,19,16,1021,110,10,9999,0
SBFL,20,16,1022,110,10,9999,0
SBFL,21,17,1023,120,12,9999,0
SBFL,21,16,1024,300,2,9999,0
SBFL,18,16,1024,230,1,9999,0
SBFL,17,15,1024,270,5,9999,0
SBFL,16,15,1024,300,2,7000,0
SBFL,16,15,1023,060,2,7000,0
SBFL,15,15,1023,210,1,9999,0
SBFL,15,14,1022,100,3,9000,0
SBFL,15,15,1022,080,4,8000,0
SBFL,15,14,1022,060,4,9999,0
SBFL,14,14,1021,100,4,8000,0
SBFL,15,14,1022,120,4,9000,0
SBFL,16,15,1022,160,1,9999,0
SBFL,16,15,1022,100,1,9999,0
SBFL,15,14,1022,130,2,9999,0
SBFL,15,15,1021,000,0,9000,0
SBFL,16,15,1021,070,2,,0
SBFL,17,16,1021,250,4,,0
SBFL,17,15,1020,250,2,,0
SBFL,18,16,1019,310,3,9999,0
SBFL,18,16,1018,120,2,9999,0
SBFL,20,15,1018,340,9,9999,1
SBFL,21,15,1017,350,11,9999,0
SBFL,22,15,1017,360,11,9999,0
SBFL,23,15,1017,010,11,9999,0
SBFL,23,15,1018,010,11,9999,0
SBFL,23,15,1019,360,11,,0
SBFL,21,14,1019,350,14,9999,0
SBFL,20,14,1020,340,17,9999,0
SBFL,19,15,1020,340,11,9999,0
SBFL,17,14,1021,350,11,9999,0
SBFL,17,14,1021,330,8,9999,0
SBFL,17,14,1020,340,9,,0
SBFL,17,14,1020,340,8,,0
SBFL,17,15,1021,330,7,,0
SBFL,17,15,1021,360,7,,0
SBFL,17,14,1021,330,6,,0
SBFL,17,15,1022,320,6,,0
SBFL,16,15,1022,330,5,,0
SBFL,16,15,1022,350,5,9999,0
SBFL,17,15,1023,360,3,9999,0
SBFL,17,15,1023,340,5,9999,0
SBFL,17,15,1023,340,5,9999,0
SBFL,17,15,1023,340,6,9999,0
SBFL,18,15,1023,330,4,9999,0
SBFL,18,15,1022,340,6,9999,0
SBFL,19,14,1022,340,7,9999,0
SBFL,19,14,1022,330,9,9999,0
SBFL,19,14,1022,330,8,9999,0
SBFL,19,14,1023,330,8,9999,0
SBFL,19,15,1024,330,5,9999,0
SBFL,18,14,1024,350,5,9999,0
SBFL,18,14,1025,340,3,9999,0
SBFL,17,14,1026,VRB,2,9999,0
SBFL,16,15,1025,260,3,9999,0
SBFL,15,14,1025,240,2,9999,0
SBFL,15,14,1025,000,0,9999,0
SBFL,15,14,1024,VRB,1,9999,0
SBFL,15,14,1024,130,3,9999,0
SBFL,15,14,1024,120,3,9999,0
SBFL,15,14,1024,130,3,9999,0
SBFL,14,14,1025,150,2,9999,0
SBFL,14,13,1026,110,3,8000,1
SBFL,15,13,1026,080,5,9999,0
SBFL,15,13,1026,110,4,9999,0
SBFL,15,13,1026,100,5,9999,0
SBFL,15,13,1026,120,5,9999,0
SBFL,15,13,1027,130,4,9999,0
SBFL,15,13,1026,120,4,9999,0
SBFL,15,12,1026,130,7,9999,0
SBFL,16,12,1026,120,9,9999,0
SBFL,17,11,1026,120,9,9999,0
SBFL,17,11,1026,120,9,9999,0
SBFL,18,11,1027,110,8,9999,0
SBFL,18,11,1027,130,6,9999,0
SBFL,19,11,1028,140,6,9999,0
SBFL,19,10,1028,150,7,9999,0
SBFL,17,12,1029,190,9,9999,0
SBFL,16,11,1028,190,10,9999,0
SBFL,15,11,1028,VRB,1,9999,0
SBFL,14,10,1027,170,5,9999,0
SBFL,14,10,1027,180,3,,0
SBFL,14,10,1027,190,5,,0
SBFL,15,10,1027,180,3,,0
SBFL,15,10,1027,150,3,,0
SBFL,15,10,1028,180,2,9999,0
SBFL,15,11,1028,190,6,9999,0
SBFL,15,11,1028,200,9,9999,0
SBFL,15,11,1028,190,7,9999,0
SBFL,16,11,1028,190,8,9999,0
SBFL,16,10,1028,150,8,,0
SBFL,16,10,1028,150,8,,0
SBFL,16,11,1027,140,9,,0
SBFL,16,11,1027,150,9,9999,0
SBFL,16,11,1026,180,4,,0
SBFL,17,11,1025,160,7,9999,0
SBFL,17,11,1025,140,11,9999,0
SBFL,19,11,1024,150,11,9999,0
SBFL,19,11,1024,150,11,9999,0
SBFL,20,10,1025,140,12,9999,0
SBFL,20,11,1025,140,12,9999,0
SBFL,19,11,1025,150,10,9999,0
SBFL,19,11,1025,190,11,,0
SBFL,17,11,1025,180,9,,0
SBFL,16,11,1024,150,4,,0
SBFL,15,11,1023,180,6,,0
SBFL,16,11,1023,190,5,9999,0
SBFL,16,11,1022,120,3,9999,0
SBFL,16,11,1022,190,9,9999,0
SBFL,16,11,1022,170,7,,0
SBFL,16,10,1021,180,7,,0
SBFL,17,9,1022,170,6,,0
SBFL,17,9,1021,160,3,,0
SBFL,17,9,1021,160,4,,0
SBFL,18,9,1021,160,6,,0
SBFL,18,8,1020,170,10,,0
SBFL,18,8,1020,170,10,,0
SBFL,18,8,1020,120,7,,0
SBFL,18,9,1019,150,8,,0
SBFL,18,10,1018,130,7,,0
SBFL,20,11,1017,110,8,,0
SBFL,21,11,1017,120,8,,0
SBFL,22,12,1016,100,7,,0
SBFL,22,12,1017,100,6,,0
SBFL,22,11,1017,280,4,,0
SBFL,21,12,1018,VRB,3,,0
SBFL,19,13,1018,320,4,,0
SBFL,17,12,1019,310,6,,0
SBFL,16,13,1018,320,7,,0
SBFL,14,12,1018,310,4,,0
SBFL,13,11,1017,330,6,,0
SBFL,13,12,1017,320,7,,0
SBFL,13,12,1017,320,7,,0
SBFL,14,12,1017,310,10,,0
SBFL,14,12,1017,320,9,,0
SBFL,14,12,1018,340,12,,0
SBFL,15,12,1019,320,11,,0
SBFL,15,12,1018,330,11,,0
SBFL,15,13,1018,340,8,,0
SBFL,15,12,1019,330,10,,0
SBFL,16,13,1019,340,8,,0
SBFL,16,13,1019,340,8,,0
SBFL,16,12,1018,350,7,,0
SBFL,17,11,1018,010,10,,0
SBFL,17,11,1017,360,10,,0
SBFL,19,12,1017,010,7,,0
SBFL,19,12,1017,010,7,,0
SBFL,21,11,1017,360,9,,0
SBFL,21,12,1018,360,9,9999,0
SBFL,21,11,1018,350,10,9999,0
SBFL,20,10,1019,340,10,9999,0
SBFL,19,10,1021,340,6,,0
SBFL,18,10,1021,170,6,,0
SBFL,16,10,1022,310,6,,0
SBFL,15,11,1022,290,7,,0
SBFL,13,12,1021,280,6,9999,0
SBFL,11,10,1021,280,2,9999,0
SBFL,10,10,1020,VRB,2,9999,0
SBFL,11,10,1020,180,2,,0
SBFL,12,11,1020,230,2,,0
SBFL,13,11,1021,VRB,2,9999,0
SBFL,13,11,1021,040,2,,0
SBFL,13,11,1022,VRB,1,,0
SBFL,13,10,1022,150,4,,0
SBFL,14,10,1022,130,5,,0
SBFL,14,11,1023,210,2,,0
SBFL,15,10,1022,120,3,,0
SBFL,15,10,1022,120,3,,0
SBFL,15,11,1022,330,2,9999,0
SBFL,14,11,1022,120,9,9999,0
SBFL,14,10,1022,120,7,9999,0
SBFL,16,11,1021,140,7,9999,0
SBFL,17,10,1021,130,11,9999,0
SBFL,19,11,1021,110,10,9999,0
SBFL,19,10,1021,100,10,9999,0
SBFL,19,8,1022,010,3,9999,0
SBFL,18,9,1023,VRB,4,9999,0
SBFL,17,8,1024,280,3,,0
SBFL,15,9,1024,290,4,,0
SBFL,14,10,1024,310,4,,0
SBFL,11,10,1023,290,5,,0
SBFL,9,8,1022,240,5,,0
SBFL,9,8,1022,260,3,,0
SBFL,10,9,1021,260,4,,0
SBFL,11,9,1021,200,2,,0
SBFL,12,8,1022,230,4,,0
SBFL,13,8,1022,200,8,,0
SBFL,14,8,1023,180,6,,0
SBFL,14,6,1023,160,7,,0
SBFL,14,6,1023,130,8,,0
SBFL,14,6,1024,120,7,,0
SBFL,14,7,1024,130,5,9999,0
SBFL,14,7,1024,130,5,9999,0
SBFL,14,8,1023,130,3,,0
SBFL,16,8,1023,180,9,9999,0
SBFL,16,10,1022,180,7,9999,0
SBFL,17,11,1022,130,6,9999,0
SBFL,18,11,1021,130,12,9999,0
SBFL,18,11,1021,130,11,9999,0
SBFL,20,10,1021,140,11,9999,0
SBFL,19,9,1022,140,6,9999,0
SBFL,19,9,1023,200,10,9999,0
SBFL,18,8,1023,VRB,5,9999,0
SBFL,17,9,1023,180,10,9999,0
