station,temperature,dew_point,pressure,wind_dir,wind_speed,visibility,rain
SBFL,19,14,1019,170,4,9999,0
SBFL,18,14,1019,190,3,9999,0
SBFL,18,13,1018,170,4,9999,0
SBFL,20,13,1018,150,6,9999,0
SBFL,21,13,1017,120,8,9999,0
SBFL,22,13,1017,110,10,9999,0
SBFL,22,13,1017,110,10,9999,0
SBFL,23,14,1017,110,10,9999,0
SBFL,23,14,1018,110,9,9999,0
SBFL,22,12,1018,270,4,9999,0
SBFL,22,13,1019,290,4,9999,0
SBFL,20,12,1019,180,3,9999,0
SBFL,18,13,1019,,,9999,0
SBFL,17,13,1018,280,2,9999,0
SBFL,16,12,1018,260,8,9999,0
SBFL,15,12,1017,270,7,9999,0
SBFL,15,13,1017,280,4,9999,0
SBFL,15,13,1017,000,0,9999,0
SBFL,17,12,1017,320,2,9999,0
SBFL,16,13,1017,VRB,2,9999,0
SBFL,17,12,1017,200,4,9999,0
SBFL,19,12,1017,VRB,2,9999,0
SBFL,19,13,1017,170,2,9999,0
SBFL,19,12,1017,120,3,9999,0
SBFL,19,13,1017,190,7,9999,0
SBFL,19,13,1017,190,7,9999,0
SBFL,19,13,1016,180,9,9999,0
SBFL,20,12,1016,150,8,9999,0
SBFL,20,12,1015,140,9,9999,0
SBFL,21,13,1015,140,10,9999,0
SBFL,22,13,1014,140,9,9999,0
SBFL,23,11,1014,150,12,9999,0
SBFL,23,11,1014,140,11,9999,0
SBFL,24,11,1015,160,6,9999,0
SBFL,23,11,1016,VRB,3,9999,0
SBFL,23,11,1016,VRB,2,,0
SBFL,20,10,1016,280,4,,0
SBFL,19,11,1016,250,6,,0
SBFL,17,12,1015,270,5,,0
SBFL,14,11,1014,330,1,,0
SBFL,15,12,1014,330,4,,0
SBFL,15,12,1014,250,6,,0
SBFL,16,13,1014,260,6,,0
SBFL,15,14,1014,270,5,,0
SBFL,16,13,1014,300,1,,0
SBFL,17,15,1014,270,4,,0
SBFL,18,16,1014,280,2,,0
SBFL,16,15,1013,250,5,,0
SBFL,18,13,1013,210,2,,0
SBFL,19,13,1013,150,5,,0
SBFL,19,13,1013,150,5,,0
SBFL,20,13,1012,170,5,9999,0
SBFL,20,13,1012,160,6,9999,0
SBFL,20,14,1011,110,5,9999,0
SBFL,21,14,1011,110,7,9999,0
SBFL,23,14,1011,130,10,9999,0
SBFL,23,14,1011,140,14,9999,0
SBFL,24,16,1011,130,11,9999,0
SBFL,24,16,1011,140,13,9999,0
SBFL,23,16,1012,190,12,9999,0
SBFL,23,17,1012,190,10,9999,0
SBFL,22,16,1012,180,11,,0
SBFL,21,16,1012,170,10,,0
SBFL,20,16,1011,170,12,9999,0
SBFL,21,16,1010,170,7,9999,0
SBFL,21,16,1010,170,4,9999,0
SBFL,21,17,1010,180,8,9999,0
SBFL,20,17,1009,VRB,2,9999,0
SBFL,20,17,1010,110,6,9999,0
SBFL,20,16,1010,190,12,9999,0
SBFL,20,18,1010,180,15,9999,1
SBFL,20,19,1011,180,12,4000,1
SBFL,22,21,1010,VRB,2,9999,0
SBFL,22,21,1009,260,3,9999,0
SBFL,22,21,1009,VRB,2,9000,1
SBFL,23,21,1009,330,3,9999,0
SBFL,23,21,1009,330,3,9999,0
SBFL,23,21,1008,340,5,9999,0
SBFL,22,20,1008,250,4,9999,0
SBFL,22,20,1008,130,3,,0
SBFL,23,20,1009,140,6,9999,0
SBFL,24,20,1009,100,8,9999,0
SBFL,25,20,1010,110,9,9999,0
SBFL,26,19,1010,120,9,9999,0
SBFL,26,19,1011,110,9,9999,0
SBFL,27,19,1012,090,8,,0
SBFL,26,18,1013,300,3,,0
SBFL,24,18,1013,VRB,2,,0
SBFL,22,19,1013,280,4,,0
SBFL,21,19,1012,270,4,,0
SBFL,20,18,1012,280,3,,0
SBFL,20,19,1012,320,4,,0
SBFL,20,19,1011,300,6,,0
SBFL,20,19,1012,300,5,,0
SBFL,21,20,1012,280,4,,0
SBFL,21,20,1012,280,4,9999,0
SBFL,21,20,1012,310,5,9999,0
SBFL,22,20,1012,340,3,,0
SBFL,23,21,1012,340,5,9999,0
SBFL,23,21,1012,360,6,9999,0
SBFL,23,20,1012,010,4,,0
SBFL,23,20,1012,010,4,,0
SBFL,22,20,1012,320,3,,0
SBFL,23,20,1011,010,7,9999,0
SBFL,24,20,1010,010,6,9999,0
SBFL,25,20,1010,360,10,,0
SBFL,26,20,1010,010,11,9999,0
SBFL,27,19,1010,010,12,9999,0
SBFL,28,19,1010,350,11,9999,0
SBFL,27,20,1011,350,12,9999,0
SBFL,25,19,1012,350,11,9999,0
SBFL,24,19,1013,330,9,9999,0
SBFL,23,18,1014,310,9,9999,0
SBFL,22,19,1013,320,6,9999,0
SBFL,21,18,1013,280,2,9999,0
SBFL,19,18,1012,320,3,9999,0
SBFL,20,18,1011,350,5,9999,0
SBFL,19,17,1011,310,6,9999,0
SBFL,19,18,1011,340,5,9999,0
SBFL,19,17,1012,290,5,9999,0
SBFL,19,17,1012,250,6,9000,0
SBFL,19,18,1013,240,3,9999,0
SBFL,20,18,1012,320,2,9999,0
SBFL,19,18,1013,260,4,9999,0
SBFL,19,18,1013,320,2,9000,0
SBFL,19,18,1013,320,2,9000,0
SBFL,19,18,1013,260,2,9000,0
SBFL,20,19,1013,300,1,9999,0
SBFL,20,19,1013,300,1,9999,0
SBFL,21,19,1012,110,2,9999,0
SBFL,22,19,1012,150,5,,0
SBFL,22,20,1011,130,6,9999,0
SBFL,23,20,1011,120,9,9999,0
SBFL,24,20,1011,120,11,9999,0
SBFL,25,19,1011,110,13,9999,0
SBFL,27,18,1011,110,12,9999,0
SBFL,27,17,1011,110,8,9999,0
SBFL,26,17,1012,130,7,9999,0
SBFL,25,18,1012,340,3,9999,0
SBFL,24,18,1012,310,4,,0
SBFL,22,17,1012,270,3,,0
SBFL,20,17,1012,280,4,,0
SBFL,19,16,1011,VRB,1,,0
SBFL,19,16,1011,220,2,,0
SBFL,20,17,1011,220,5,,0
SBFL,20,17,1010,180,1,,0
SBFL,20,17,1011,000,0,,0
SBFL,21,17,1011,130,1,,0
SBFL,23,15,1011,150,5,,0
SBFL,22,16,1011,110,4,,0
SBFL,23,17,1011,080,6,,0
SBFL,23,18,1011,150,4,,0
SBFL,23,18,1011,VRB,5,,0
SBFL,23,18,1011,VRB,5,,0
SBFL,21,18,1010,VRB,1,,0
SBFL,21,19,1009,190,3,,0
SBFL,23,19,1010,VRB,2,,0
SBFL,24,18,1010,320,3,,0
SBFL,24,18,1010,340,5,,0
SBFL,25,18,1011,330,4,,0
SBFL,25,18,1011,340,6,,0
SBFL,25,18,1011,340,8,,0
SBFL,24,18,1012,340,7,,0
SBFL,23,17,1013,310,5,,0
SBFL,22,17,1013,300,6,,0
SBFL,21,17,1013,280,5,,0
SBFL,21,18,1013,300,5,,0
SBFL,19,17,1013,350,4,,0
SBFL,20,17,1013,330,7,,0
SBFL,20,17,1012,300,7,,0
SBFL,19,17,1013,330,7,,0
SBFL,19,18,1013,320,6,,0
SBFL,19,18,1014,310,8,,0
SBFL,20,18,1015,300,7,,0
SBFL,20,18,1015,300,6,,0
SBFL,21,18,1015,320,7,,0
SBFL,21,19,1015,330,6,,0
SBFL,22,18,1014,350,6,,0
SBFL,22,18,1014,350,6,,0
SBFL,22,18,1014,340,5,,0
SBFL,22,17,1014,350,9,9999,0
SBFL,23,17,1014,360,10,9999,0
SBFL,24,16,1014,360,11,,0
SBFL,25,16,1013,010,11,9999,0
SBFL,26,17,1013,360,11,9999,0
SBFL,26,17,1013,360,11,9999,0
SBFL,26,17,1014,350,11,,0
SBFL,25,16,1015,350,12,,0
SBFL,24,17,1016,350,9,,0
SBFL,23,18,1017,330,8,,0
SBFL,22,17,1017,350,9,,0
SBFL,20,18,1016,360,6,,0
SBFL,18,16,1016,310,5,,0
SBFL,18,16,1016,340,6,,0
SBFL,18,17,1015,320,5,9999,0
SBFL,18,17,1015,330,5,9999,0
SBFL,19,17,1015,280,4,9999,0
SBFL,19,17,1016,VRB,1,9999,0
SBFL,18,17,1016,260,3,9999,0
SBFL,18,16,1016,340,3,9999,0
SBFL,18,17,1017,VRB,1,9999,0
SBFL,20,17,1017,110,3,9999,0
SBFL,20,17,1016,110,4,9999,0
SBFL,20,17,1016,110,4,9999,0
SBFL,20,17,1016,120,4,9999,0
SBFL,20,17,1016,120,7,9999,0
SBFL,21,17,1015,100,7,9999,0
SBFL,22,17,1015,090,9,9999,0
SBFL,23,17,1016,110,10,9999,0
SBFL,23,17,1016,120,9,9999,0
SBFL,24,17,1016,120,7,9999,0
SBFL,23,15,1017,110,7,9999,0
SBFL,24,16,1018,140,6,9999,0
SBFL,23,15,1018,180,2,9999,0
SBFL,21,14,1019,310,4,,0
SBFL,19,14,1018,320,4,,0
SBFL,18,14,1018,320,3,,0
SBFL,15,12,1017,300,6,,0
SBFL,15,12,1017,290,6,,0
SBFL,16,13,1017,290,7,,0
SBFL,17,13,1016,280,8,,0
SBFL,17,14,1017,280,6,,0
SBFL,17,14,1017,280,7,,0
SBFL,17,14,1017,250,6,,0
SBFL,17,15,1017,250,7,,0
SBFL,18,14,1017,210,6,,0
SBFL,18,13,1017,200,6,,0
SBFL,18,14,1017,180,7,,0
SBFL,18,14,1017,180,7,,0
SBFL,18,15,1017,210,6,9999,0
SBFL,18,15,1016,160,3,9999,0
SBFL,20,15,1015,150,5,9999,0
SBFL,22,15,1016,160,6,9999,0
SBFL,22,15,1015,180,3,9999,0
SBFL,22,14,1016,VRB,2,9999,0
SBFL,22,14,1015,VRB,2,9999,0
SBFL,21,14,1016,200,5,9999,0
SBFL,21,13,1017,190,7,9999,0
SBFL,21,13,1017,170,4,9999,0
SBFL,21,15,1018,270,3,9999,0
SBFL,20,14,1018,250,3,9999,0
SBFL,19,14,1017,250,4,9999,0
SBFL,18,14,1016,260,3,9999,0
SBFL,19,14,1016,VRB,2,9999,0
SBFL,19,14,1015,VRB,2,9999,0
SBFL,20,12,1015,190,3,9999,0
SBFL,19,13,1015,210,4,9999,0
SBFL,19,12,1016,190,3,9999,0
SBFL,19,12,1016,200,3,9999,0
SBFL,20,12,1016,170,4,9999,0
SBFL,20,12,1017,190,7,9999,0
SBFL,20,13,1017,170,6,9999,0
SBFL,20,13,1017,160,6,9999,0
SBFL,20,13,1017,160,6,9999,0
SBFL,20,13,1016,180,9,9999,0
SBFL,20,13,1016,160,7,9999,0
SBFL,21,14,1015,150,9,9999,0
SBFL,21,14,1015,200,11,9999,0
SBFL,21,13,1015,140,13,9999,0
SBFL,22,12,1015,140,12,9999,0
SBFL,22,12,1015,140,11,9999,0
SBFL,24,13,1015,130,10,9999,0
SBFL,23,12,1016,200,10,9999,0
SBFL,22,10,1017,190,10,9999,0
SBFL,21,11,1017,190,12,9999,0
SBFL,20,11,1017,180,9,9999,0
SBFL,20,13,1017,180,8,9999,0
SBFL,19,14,1016,190,6,9999,0
SBFL,19,14,1016,190,8,9999,0
SBFL,19,14,1016,200,6,9999,0
SBFL,20,14,1016,VRB,1,9999,0
SBFL,20,14,1016,170,5,9999,0
SBFL,20,15,1016,180,9,9999,0
SBFL,20,15,1016,190,12,9999,0
SBFL,20,16,1016,190,13,9999,0
SBFL,20,16,1016,190,15,9999,0
SBFL,20,17,1016,190,14,9999,0
SBFL,20,17,1016,190,13,9999,0
SBFL,21,17,1015,190,13,9999,0
