station,temperature,dew_point,pressure,wind_dir,wind_speed,visibility,rain
SBFL,23,20,1015,150,5,9999,1
SBFL,23,20,1015,150,5,9999,1
SBFL,23,20,1014,180,9,9000,0
SBFL,24,21,1014,200,5,9000,0
SBFL,25,19,1014,190,11,9999,0
SBFL,26,19,1013,170,11,9999,0
SBFL,26,20,1013,180,12,9999,0
SBFL,27,21,1013,150,7,9999,0
SBFL,27,21,1013,160,6,9999,0
SBFL,26,19,1014,160,7,9999,0
SBFL,26,20,1014,160,8,9999,0
SBFL,26,20,1014,160,5,9999,0
SBFL,25,20,1014,160,4,9999,0
SBFL,25,20,1014,140,6,9999,0
SBFL,25,21,1013,190,7,9999,0
SBFL,25,23,1012,160,4,9999,0
SBFL,24,23,1012,190,4,9999,0
SBFL,24,23,1011,130,4,9999,0
SBFL,24,23,1011,200,4,9999,0
SBFL,24,23,1011,310,5,9999,0
SBFL,24,23,1011,320,5,9999,0
SBFL,24,23,1011,010,4,9999,0
SBFL,23,23,1010,VRB,3,9999,1
SBFL,23,22,1013,040,4,5000,1
SBFL,24,23,1014,040,6,5000,1
SBFL,24,23,1014,300,7,4000,1
SBFL,24,23,1013,260,4,9999,1
SBFL,24,22,1012,110,6,9999,1
SBFL,24,22,1012,110,6,9999,1
SBFL,24,22,1012,130,4,9999,1
SBFL,24,23,1011,120,5,9999,1
SBFL,24,23,1011,130,7,9999,1
SBFL,24,23,1010,130,9,9999,0
SBFL,24,23,1010,100,11,8000,1
SBFL,25,23,1011,270,7,1500,1
SBFL,25,23,1012,260,8,3000,1
SBFL,25,23,1010,200,11,9999,1
SBFL,26,23,1009,140,5,9999,0
SBFL,25,23,1009,190,17,9999,1
SBFL,28,22,1008,180,17,9999,1
SBFL,30,24,1008,170,17,9999,0
SBFL,32,25,1007,150,14,9999,0
SBFL,36,23,1007,250,5,9999,0
SBFL,35,24,1007,340,6,9999,0
SBFL,33,23,1008,350,12,9999,0
SBFL,31,23,1007,340,16,9999,0
SBFL,29,22,1007,350,11,9999,0
SBFL,28,24,1008,340,14,9999,0
SBFL,26,25,1008,VRB,3,8000,1
SBFL,26,23,1009,VRB,2,9999,0
SBFL,25,23,1009,VRB,1,9999,0
SBFL,25,22,1008,040,4,9999,0
SBFL,26,22,1008,100,4,9999,0
SBFL,28,25,1008,130,10,9999,0
SBFL,28,26,1007,340,11,9999,0
SBFL,28,26,1008,340,10,9999,0
SBFL,28,26,1008,330,11,9999,0
SBFL,28,26,1008,340,10,9999,0
SBFL,28,26,1008,340,12,9999,0
SBFL,28,26,1008,350,8,9999,0
SBFL,28,26,1008,350,8,9999,0
SBFL,28,26,1007,340,13,9999,0
SBFL,29,25,1006,350,17,9999,0
SBFL,29,25,1006,340,12,9999,0
SBFL,31,25,1006,010,12,9999,0
SBFL,32,26,1006,010,13,9999,0
SBFL,32,26,1006,010,14,9999,0
SBFL,33,25,1007,010,12,9999,0
SBFL,32,25,1008,010,14,9999,0
SBFL,32,25,1009,350,13,9999,0
SBFL,31,25,1009,340,12,9999,0
SBFL,29,25,1010,340,12,9999,0
SBFL,28,25,1010,350,8,9999,0
SBFL,27,25,1011,340,8,9999,0
SBFL,27,25,1010,320,9,9999,0
SBFL,27,24,1010,330,10,9999,0
SBFL,26,25,1010,320,9,9999,0
SBFL,27,25,1009,340,8,9999,0
SBFL,26,25,1010,320,5,9999,1
SBFL,25,25,1010,320,3,9999,1
SBFL,25,25,1011,260,6,9999,1
SBFL,26,25,1012,250,2,9000,1
SBFL,26,25,1013,320,3,9000,1
SBFL,26,25,1012,100,6,9999,0
SBFL,27,25,1013,140,5,9999,1
SBFL,27,25,1012,070,3,9999,0
SBFL,27,25,1012,070,3,9999,0
SBFL,27,25,1011,080,5,9999,0
SBFL,27,25,1011,100,3,9999,0
SBFL,28,24,1010,050,4,9999,0
SBFL,28,24,1009,050,7,9999,0
SBFL,28,24,1009,060,8,9999,0
SBFL,30,24,1008,060,12,9999,0
SBFL,30,24,1009,060,12,9999,0
SBFL,31,25,1010,050,8,9999,0
SBFL,31,24,1011,020,7,9999,0
SBFL,30,25,1012,350,6,9999,0
SBFL,28,24,1012,020,4,9999,0
SBFL,28,23,1012,330,4,9999,0
SBFL,26,23,1012,320,3,9999,0
SBFL,25,23,1012,330,3,9999,0
SBFL,24,23,1012,280,3,9000,0
SBFL,24,23,1012,270,3,9999,0
SBFL,24,23,1012,340,3,8000,0
SBFL,23,23,1011,VRB,1,8000,1
SBFL,24,23,1011,VRB,2,8000,1
SBFL,23,22,1011,200,2,9000,1
SBFL,23,22,1011,230,4,3000,1
SBFL,24,23,1012,270,7,9999,0
SBFL,24,23,1012,230,5,9999,0
SBFL,24,24,1013,260,4,9999,0
SBFL,24,23,1013,360,3,9000,0
SBFL,25,23,1013,210,2,9999,0
SBFL,25,23,1012,140,3,9999,0
SBFL,25,23,1012,140,3,9999,0
SBFL,26,23,1012,160,5,9999,0
SBFL,25,23,1012,200,4,9999,0
SBFL,25,23,1011,100,6,9999,0
SBFL,26,22,1012,130,7,9999,0
SBFL,27,23,1012,150,10,9999,0
SBFL,26,23,1012,150,10,9999,0
SBFL,26,23,1013,140,8,8000,0
SBFL,26,23,1014,140,9,4000,0
SBFL,26,22,1014,150,10,8000,0
SBFL,26,22,1014,200,12,9999,0
SBFL,26,23,1014,210,10,9999,0
SBFL,25,23,1014,200,11,9999,0
SBFL,25,23,1014,190,9,9999,0
SBFL,24,22,1014,200,7,9999,0
SBFL,24,22,1013,200,10,9999,0
SBFL,23,22,1013,170,2,9999,0
SBFL,24,22,1013,140,3,9999,0
SBFL,23,22,1013,060,1,9999,0
SBFL,23,22,1013,210,3,9999,0
SBFL,23,22,1013,030,2,9999,0
SBFL,24,22,1014,190,10,9999,0
SBFL,24,22,1014,190,6,9999,0
SBFL,24,22,1015,220,6,9999,1
SBFL,23,22,1015,200,7,9999,1
SBFL,23,22,1014,110,5,9999,0
SBFL,23,22,1014,110,5,9999,0
SBFL,27,23,1013,180,4,9999,0
SBFL,26,24,1012,200,4,9999,0
SBFL,27,24,1012,130,6,9999,0
SBFL,27,24,1011,140,9,9999,0
SBFL,28,24,1011,150,10,9999,0
SBFL,29,24,1011,150,17,9999,0
SBFL,32,22,1011,160,18,9999,0
SBFL,31,23,1012,130,14,9999,0
SBFL,30,23,1012,140,16,9999,0
SBFL,32,25,1011,110,9,9999,0
SBFL,31,24,1011,350,6,,0
SBFL,29,23,1011,350,9,,0
SBFL,28,22,1011,350,9,,0
SBFL,26,23,1011,330,5,,0
SBFL,25,23,1010,290,7,,0
SBFL,25,23,1011,280,4,,0
SBFL,25,23,1011,300,5,,0
SBFL,26,23,1011,260,4,,0
SBFL,26,23,1012,340,3,9999,0
SBFL,26,23,1013,200,5,9999,0
SBFL,27,23,1014,140,5,9999,0
SBFL,27,23,1014,200,7,9999,0
SBFL,27,23,1014,190,8,9999,0
SBFL,27,23,1013,170,10,9999,0
SBFL,27,23,1013,170,10,9999,0
SBFL,27,23,1012,190,11,9999,0
SBFL,28,23,1011,170,12,9999,0
SBFL,29,23,1009,180,12,9999,0
SBFL,28,22,1010,200,8,9999,0
SBFL,28,21,1010,170,5,9999,0
SBFL,30,24,1009,170,16,9999,0
SBFL,30,24,1009,220,20,9999,0
SBFL,34,26,1008,350,10,9999,0
SBFL,33,26,1009,340,10,9999,0
SBFL,32,25,1009,350,10,9999,0
SBFL,31,26,1010,340,10,9999,0
SBFL,30,26,1010,350,11,9999,0
SBFL,29,26,1010,340,9,9999,0
SBFL,28,26,1010,330,7,9999,0
SBFL,27,25,1011,300,6,9000,0
SBFL,26,25,1010,VRB,2,8000,0
SBFL,26,25,1010,290,3,5000,0
SBFL,26,25,1010,320,3,9999,0
SBFL,25,25,1010,230,4,9999,0
SBFL,26,25,1010,000,0,9999,0
SBFL,27,25,1010,340,3,9999,0
SBFL,27,25,1010,330,5,9999,0
SBFL,27,25,1010,360,10,9999,0
SBFL,27,26,1010,360,7,9999,0
SBFL,28,25,1010,350,9,9999,0
SBFL,27,25,1010,340,7,9999,0
SBFL,28,25,1009,350,11,9999,0
SBFL,28,25,1009,350,11,9999,0
SBFL,28,25,1008,340,11,9999,0
SBFL,29,24,1007,340,8,,0
SBFL,30,25,1007,300,14,,0
SBFL,32,25,1007,010,11,9999,0
SBFL,33,25,1007,350,13,9999,0
SBFL,33,25,1007,330,12,9999,0
SBFL,33,24,1008,360,13,9999,0
SBFL,32,24,1009,350,14,9999,0
SBFL,32,23,1010,350,13,,0
SBFL,31,23,1011,350,14,,0
SBFL,29,23,1011,340,13,,0
SBFL,28,23,1011,280,13,,0
SBFL,27,23,1011,310,9,,0
SBFL,26,22,1011,310,9,,0
SBFL,25,23,1010,320,10,,0
SBFL,25,22,1010,310,8,,0
SBFL,25,22,1010,310,8,,0
SBFL,25,23,1011,310,9,,0
SBFL,26,23,1011,330,10,,0
SBFL,26,23,1012,320,10,9999,0
SBFL,27,23,1012,330,11,9999,0
SBFL,27,24,1012,310,11,9999,0
SBFL,27,23,1013,350,11,9999,0
SBFL,27,23,1012,350,9,9999,0
SBFL,27,23,1012,350,9,9999,0
SBFL,28,23,1011,010,9,9999,0
SBFL,28,22,1010,360,11,9999,0
SBFL,30,23,1010,360,11,9999,0
SBFL,31,24,1010,360,10,9999,0
SBFL,32,23,1011,350,13,9999,0
SBFL,33,23,1011,360,11,9999,0
SBFL,32,23,1012,360,11,9999,0
SBFL,32,22,1013,360,10,9999,0
SBFL,31,22,1014,350,9,9999,0
SBFL,30,22,1014,350,12,9999,0
SBFL,29,22,1015,330,6,9999,0
SBFL,28,22,1015,310,6,,0
SBFL,26,23,1015,320,7,,0
SBFL,25,23,1014,300,6,,0
SBFL,24,22,1014,300,4,,0
SBFL,24,22,1013,320,5,,0
SBFL,24,22,1013,290,3,,0
SBFL,24,23,1014,290,3,9999,0
SBFL,24,22,1014,280,2,9999,0
SBFL,25,23,1014,320,4,9999,0
SBFL,26,23,1015,340,3,,0
SBFL,25,22,1015,330,3,,0
SBFL,26,23,1015,010,5,,0
SBFL,25,23,1015,VRB,1,9999,0
SBFL,25,23,1015,VRB,1,9999,0
SBFL,26,23,1014,140,5,9999,0
SBFL,27,23,1013,160,4,,0
SBFL,30,23,1013,340,4,,0
SBFL,30,23,1013,330,9,9999,0
SBFL,31,23,1013,330,10,9999,0
SBFL,31,23,1014,330,9,9999,0
SBFL,31,22,1014,330,10,9999,0
SBFL,31,21,1015,320,7,9999,0
SBFL,30,18,1016,330,7,9999,0
SBFL,29,20,1016,320,7,,0
SBFL,28,21,1017,330,6,,0
SBFL,26,21,1017,330,6,,0
SBFL,25,21,1016,280,7,,0
SBFL,24,22,1016,330,8,,0
SBFL,23,21,1015,310,7,,0
SBFL,24,21,1014,340,9,,0
SBFL,23,21,1015,310,9,9999,0
SBFL,24,21,1015,290,5,9999,0
SBFL,23,21,1016,300,4,9999,0
SBFL,22,20,1017,190,3,9999,0
SBFL,23,20,1017,110,3,,0
SBFL,24,21,1018,VRB,2,9999,0
SBFL,25,20,1018,090,3,9999,0
SBFL,25,20,1017,100,5,9999,0
SBFL,25,20,1017,100,5,9999,0
SBFL,26,20,1016,100,6,9999,0
SBFL,26,20,1016,100,8,9999,0
SBFL,26,20,1016,090,7,9999,0
SBFL,28,19,1016,100,9,9999,0
SBFL,28,19,1016,110,9,9999,0
SBFL,28,20,1017,120,10,9999,0
SBFL,28,20,1017,100,9,9999,0
SBFL,28,20,1018,110,10,9999,0
SBFL,28,20,1019,100,11,9999,0
SBFL,28,21,1019,130,10,9999,0
SBFL,27,20,1019,130,11,9999,0
SBFL,27,21,1018,150,9,9999,0
SBFL,25,21,1017,200,8,9999,0
SBFL,24,21,1017,200,5,9999,0
SBFL,23,20,1017,VRB,2,9999,0
SBFL,23,21,1016,180,5,9999,0
SBFL,23,21,1016,170,4,9999,0
SBFL,24,21,1016,210,5,9999,0
SBFL,24,21,1016,170,2,9999,0
SBFL,24,21,1017,190,4,9999,0
SBFL,25,22,1017,180,4,9999,0
SBFL,25,22,1017,170,6,8000,0
SBFL,24,22,1017,150,8,8000,1
SBFL,25,22,1017,150,6,9999,0
SBFL,25,22,1017,150,6,9999,0
SBFL,25,22,1016,200,6,9999,0
SBFL,25,22,1015,180,8,9999,0
SBFL,24,22,1015,200,11,9999,0
SBFL,25,22,1015,150,11,9000,0
SBFL,25,22,1015,150,11,8000,0
SBFL,26,22,1015,140,15,8000,0
SBFL,27,23,1015,140,11,8000,0
SBFL,27,22,1015,130,6,8000,0
SBFL,28,23,1015,190,10,9999,0
SBFL,28,23,1015,190,8,9999,0
SBFL,27,23,1015,200,10,9999,0
SBFL,28,23,1014,160,4,9999,0
SBFL,27,23,1014,170,7,9999,0
SBFL,26,23,1013,140,9,9999,0
SBFL,26,23,1012,150,11,9999,0
SBFL,27,23,1011,140,9,9999,0
SBFL,27,22,1010,VRB,6,9999,0
SBFL,27,22,1010,VRB,2,9999,0
SBFL,25,23,1010,040,1,9999,0
SBFL,24,23,1011,VRB,2,9999,0
SBFL,25,22,1011,VRB,2,9999,0
SBFL,25,22,1010,290,9,9999,0
SBFL,25,23,1010,260,6,9999,0
SBFL,25,23,1010,320,4,9999,0
SBFL,25,23,1010,320,4,9999,0
SBFL,24,21,1009,130,5,9999,1
SBFL,24,21,1009,120,7,9999,1
SBFL,24,22,1009,070,12,1500,1
SBFL,27,24,1010,150,7,9000,1
SBFL,27,24,1010,210,5,9000,1
SBFL,27,24,1010,210,5,9000,1
SBFL,27,22,1009,260,9,9999,0
SBFL,27,21,1008,280,8,9999,0
SBFL,30,22,1007,280,6,9999,0
SBFL,33,24,1007,VRB,7,9999,0
SBFL,33,24,1007,020,8,9999,0
SBFL,33,24,1007,360,9,9999,0
SBFL,31,24,1008,360,10,9999,0
SBFL,30,24,1009,360,10,9999,0
SBFL,28,23,1009,330,10,9999,0
SBFL,27,27,1010,340,11,9999,0
SBFL,27,23,1009,340,15,9999,0
SBFL,27,23,1009,350,16,9999,0
SBFL,26,23,1008,350,15,9999,0
SBFL,27,23,1008,340,12,9999,0
SBFL,27,23,1008,340,14,9999,0
SBFL,26,23,1008,350,14,9999,0
SBFL,26,23,1008,350,10,9999,0
SBFL,27,23,1009,350,12,9999,0
SBFL,27,23,1009,350,12,9999,0
SBFL,27,24,1008,340,15,9999,0
SBFL,27,23,1008,350,14,9999,0
SBFL,27,23,1009,340,16,9999,0
SBFL,28,24,1009,340,15,9999,0
SBFL,28,24,1009,340,15,9999,0
SBFL,28,23,1008,330,10,9999,0
