datetime,precip_mm,pressure_mB,temp_C,rh_pct,wind_dir_deg,wind_speed_m_s,cloudcover,rain
2022-06-26 07:00:00,0.0,1025.7,10.8,96.0,275.0,1.3,59,0
2022-08-15 08:00:00,0.0,1008.3,16.7,93.0,88.0,2.5,12,0
2022-08-26 11:00:00,0.0,1020.4,18.9,100.0,322.0,0.9,95,0
2022-11-19 18:00:00,0.0,1014.6,25.3,58.0,78.0,7.6,1,0
2022-08-15 17:00:00,0.0,1001.4,29.0,57.0,74.0,3.3,100,0
2024-05-06 09:00:00,0.0,1012.4,19.7,100.0,4.0,1.2,49,0
2023-05-03 09:00:00,0.0,1014.9,20.2,100.0,194.0,1.0,100,0
2022-08-13 16:00:00,0.0,1020.3,22.2,50.0,93.0,0.4,100,0
2023-12-05 20:00:00,0.0,1017.9,21.1,97.0,82.0,3.1,100,0
2022-09-01 11:00:00,0.0,1018.8,15.0,83.0,316.0,1.3,0,0
2024-03-28 11:00:00,0.0,1018.5,20.2,100.0,318.0,0.8,35,0
2024-04-20 17:00:00,0.0,1017.6,26.2,55.0,130.0,2.8,0,0
2023-02-18 19:00:00,0.0,1020.1,22.6,39.0,166.0,6.1,37,0
2024-03-28 14:00:00,0.0,1018.0,27.7,70.0,59.99999999999999,2.0,39,0
2022-11-10 22:00:00,0.0,1016.9,19.5,87.0,75.0,0.8,100,0
2023-06-09 21:00:00,0.0,1013.3,21.6,67.0,61.0,2.1,8,0
2023-07-31 16:00:00,0.0,1021.4,25.3,31.0,351.9938209819037,2.15672990063234,0,0
2022-12-20 20:00:00,0.0,1015.6,22.5,84.0,61.0,4.7,81,0
2022-05-09 02:00:00,0.0,1022.0,16.0,96.0,145.0,0.6,0,0
2022-12-21 03:00:00,0.0,1017.4,19.8,98.0,84.0,3.0,49,0
2023-12-08 07:00:00,0.0,1015.0,19.3,91.0,287.0,1.7,100,0
2023-08-12 11:00:00,0.0,1020.6,17.4,76.0,63.51651367481637,2.489069557362241,100,0
2023-03-09 23:00:00,0.0,1014.5,25.6,100.0,34.0,1.6,64,0
2022-07-30 11:00:00,0.0,1021.1,11.4,88.0,327.0,1.2,0,0
2022-07-16 22:00:00,0.0,1004.1,27.1,49.0,291.0,2.7,100,0
2023-06-17 19:00:00,0.0,1020.8,19.2,45.0,208.0,3.4,0,0
2023-01-31 21:00:00,0.0,1009.0,25.6,86.0,340.0,2.4,65,0
2022-12-28 08:00:00,0.0,1007.8,21.0,100.0,169.0,0.7,100,0
2023-01-09 09:00:00,0.0,1016.8,19.4,91.0,214.0,0.5,7,0
2023-12-13 05:00:00,0.0,1013.5,20.7,91.0,75.0,2.3,0,0
2022-02-02 19:00:00,0.0,1012.5,26.9,81.0,91.0,5.1,5,0
2024-04-17 20:00:00,0.0,1014.5,24.2,47.0,195.0,3.9,1,0
2022-11-09 04:00:00,0.0,1017.2,14.7,100.0,258.0,1.9,48,0
2023-11-11 14:00:00,0.0,1004.5,27.7,72.0,25.0,2.0,100,0
2024-03-19 12:00:00,0.0,1011.0,26.3,94.0,93.0,0.9,89,0
2022-08-26 19:00:00,0.0,1017.0,22.7,52.0,169.0,3.4,2,0
2023-05-03 07:00:00,0.0,1014.6,20.5,100.0,226.0,1.3,100,0
2022-07-01 08:00:00,0.0,1020.7,6.3,100.0,351.0,0.9,93,0
