time,temperature_2m,relative_humidity_2m,pressure_msl,cloudcover,windspeed_10m,winddirection_10m,precipitation
2023-01-01T00:00,23.8,90,1014.4,2,35.3,36,0.0
2023-01-01T01:00,23.6,91,1014.8,1,36.7,33,0.0
2023-01-01T02:00,23.6,92,1014.7,1,37.6,29,0.0
2023-01-01T03:00,23.5,92,1014.3,6,37.8,25,0.0
2023-01-01T04:00,23.4,92,1014.0,6,35.9,24,0.0
2023-01-01T05:00,23.3,93,1013.4,1,32.7,27,0.0
2023-01-01T06:00,23.2,93,1013.4,1,31.7,28,0.0
2023-01-01T07:00,23.1,93,1013.8,2,31.9,27,0.0
2023-01-01T08:00,23.1,92,1014.1,3,29.9,26,0.0
2023-01-01T09:00,23.1,92,1014.3,1,28.7,28,0.0
2023-01-01T10:00,23.0,92,1014.5,0,27.5,34,0.0
2023-01-01T11:00,23.1,91,1014.9,0,29.3,37,0.0
2023-01-01T12:00,23.4,92,1015.5,0,28.5,43,0.0
2023-01-01T13:00,23.5,92,1015.6,0,31.6,46,0.0
2023-01-01T14:00,23.5,92,1015.3,0,33.1,48,0.0
2023-01-01T15:00,23.6,92,1014.7,0,34.0,51,0.0
2023-01-01T16:00,23.6,92,1014.0,0,34.1,52,0.0
2023-01-01T17:00,23.9,91,1013.6,1,34.2,50,0.0
2023-01-01T18:00,24.0,90,1013.4,4,33.9,47,0.0
2023-01-01T19:00,24.0,90,1013.0,4,33.9,45,0.0
2023-01-01T20:00,24.0,90,1012.6,5,33.4,44,0.0
2023-01-01T21:00,24.0,91,1012.4,9,34.4,41,0.0
2023-01-01T22:00,23.8,93,1012.6,31,36.2,42,0.0
2023-01-01T23:00,23.7,92,1013.1,30,36.5,41,0.0
2023-01-02T00:00,23.8,93,1013.0,6,37.4,36,0.0
2023-01-02T01:00,23.6,94,1013.7,91,37.0,31,0.0
2023-01-02T02:00,23.5,94,1014.3,28,36.4,27,0.0
2023-01-02T03:00,23.4,93,1013.6,43,36.2,28,0.0
2023-01-02T04:00,23.4,92,1013.2,89,35.8,22,0.0
2023-01-02T05:00,23.2,92,1012.0,88,35.6,23,0.0
2023-01-02T06:00,23.3,91,1011.2,100,34.5,25,0.0
2023-01-02T07:00,23.2,92,1011.0,99,38.3,26,0.0
2023-01-02T08:00,23.2,91,1010.8,96,38.5,21,0.0
2023-01-02T09:00,23.1,92,1010.8,100,36.4,21,0.0
2023-01-02T10:00,23.2,91,1010.7,100,36.9,27,0.0
2023-01-02T11:00,23.2,91,1010.7,100,37.5,28,0.0
2023-01-02T12:00,23.7,90,1010.7,96,40.8,29,0.0
2023-01-02T13:00,23.8,90,1010.4,94,42.9,30,0.0
2023-01-02T14:00,24.0,89,1009.6,76,45.0,32,0.0
2023-01-02T15:00,24.1,88,1008.9,79,45.3,33,0.0
2023-01-02T16:00,24.2,89,1007.9,80,45.1,32,0.0
2023-01-02T17:00,24.0,90,1007.3,58,45.3,32,0.0
2023-01-02T18:00,24.1,91,1006.7,57,43.8,31,0.0
2023-01-02T19:00,24.1,91,1006.0,46,45.8,30,0.0
2023-01-02T20:00,24.0,91,1005.4,29,44.8,30,0.0
2023-01-02T21:00,24.0,91,1005.1,49,44.2,30,0.0
2023-01-02T22:00,24.0,91,1005.2,23,44.5,30,0.0
2023-01-02T23:00,24.0,90,1005.8,47,43.8,27,0.0
2023-01-03T00:00,24.1,91,1006.3,100,41.9,25,0.0
2023-01-03T01:00,24.0,92,1006.6,100,43.7,23,0.0
2023-01-03T02:00,23.9,92,1006.4,83,40.8,21,0.0
2023-01-03T03:00,23.9,92,1006.0,76,34.8,14,0.0
2023-01-03T04:00,23.8,93,1005.2,52,33.0,14,0.0
2023-01-03T05:00,23.7,93,1004.9,63,29.2,10,0.0
2023-01-03T06:00,23.6,93,1004.5,15,25.3,4,0.0
2023-01-03T07:00,23.4,94,1004.7,22,14.6,344,0.0
2023-01-03T08:00,23.1,96,1005.5,32,8.3,272,0.0
2023-01-03T09:00,23.4,94,1006.5,40,13.6,217,0.0
2023-01-03T10:00,23.5,91,1007.2,41,18.7,191,0.0
2023-01-03T11:00,23.6,89,1008.0,25,19.4,191,0.0
2023-01-03T12:00,24.0,89,1008.5,70,23.4,223,0.0
2023-01-03T13:00,23.6,90,1008.9,39,25.9,219,0.0
2023-01-03T14:00,23.7,90,1008.8,96,28.7,213,0.0
2023-01-03T15:00,23.5,90,1009.1,77,28.7,213,0.0
2023-01-03T16:00,23.5,88,1008.6,46,28.8,206,0.0
2023-01-03T17:00,23.6,88,1008.1,30,25.5,193,0.0
2023-01-03T18:00,23.9,84,1007.8,59,22.4,185,0.0
2023-01-03T19:00,24.0,83,1008.2,100,23.5,184,0.0
2023-01-03T20:00,23.9,84,1008.0,100,23.5,169,0.0
2023-01-03T21:00,23.9,83,1008.8,100,20.6,168,0.0
2023-01-03T22:00,23.8,80,1009.2,100,19.8,182,0.0
